Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
1001,21-Sep-22,Customer Service,Internal,Failed,Port Greg,Amanda Daniels,4,510.83
1002,19-Jul-23,Leadership Development,Internal,Failed,Brandonview,Brittany Chambers,2,582.37
1003,24-Feb-23,Technical Skills,Internal,Incomplete,Port Briannahaven,Mark Roberson,4,777.06
1004,12-Jan-23,Customer Service,Internal,Completed,Knightborough,Richard Fisher,2,824.3
1005,12-May-23,Communication Skills,External,Passed,Bruceshire,Heather Shaffer,4,145.99
1006,08-May-23,Project Management,Internal,Failed,Erinfort,Michael Duke,2,838.07
1007,14-May-23,Leadership Development,External,Failed,New Christopher,Virginia Clayton DVM,2,667.32
1008,02-Aug-23,Technical Skills,External,Incomplete,Lowemouth,Erica Maxwell,2,758.18
1009,21-Aug-22,Customer Service,Internal,Incomplete,Johnland,Katelyn Hartman,2,101.21
1010,19-Aug-22,Communication Skills,External,Incomplete,Lake Kimfurt,Rhonda Clark,5,332.25
1011,06-Nov-22,Communication Skills,Internal,Completed,Smithshire,Natalie Fields,1,803.98
1012,28-Mar-23,Technical Skills,External,Failed,Howardburgh,Theresa Martinez,3,887.08
1013,08-Apr-23,Project Management,External,Incomplete,East Jessicatown,Michael Marks,2,657.85
1014,21-Feb-23,Customer Service,External,Incomplete,Watersview,Rachel Jones,2,895.49
1015,13-May-23,Leadership Development,External,Passed,Port Ninaland,Jennifer Olson,1,539
1016,30-Apr-23,Communication Skills,External,Completed,Lake Stuartfurt,Eric Johnson,2,606.68
1017,14-Nov-22,Technical Skills,External,Passed,Cooleybury,Joseph Mcintyre,3,265.73
1018,25-Mar-23,Project Management,Internal,Incomplete,Larsonborough,Whitney Morgan DVM,2,673.29
1019,26-Oct-22,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98
1020,30-Dec-22,Technical Skills,External,Passed,Chadport,Nicole Taylor,4,578.58
1021,10-Mar-23,Technical Skills,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16
1022,12-Jan-23,Project Management,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23
1023,19-Oct-22,Project Management,Internal,Failed,West Justinborough,Angela Good,4,893.07
1024,11-Oct-22,Project Management,External,Completed,Hullmouth,Keith Curtis,5,868.98
1025,13-Jan-23,Project Management,Internal,Incomplete,Thompsonbury,Nina Rodriguez,5,761.95
1026,17-Apr-23,Communication Skills,External,Incomplete,Cynthiachester,Jennifer Robinson,4,431.57
1027,16-Mar-23,Communication Skills,External,Incomplete,East Jackstad,Mr. Robert Byrd MD,4,357.57
1028,19-Jan-23,Technical Skills,Internal,Incomplete,East Christopher,Gina Moore,3,804.06
1029,25-Feb-23,Project Management,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41
1030,04-Jan-23,Communication Skills,Internal,Completed,Longton,Wendy Gibson,1,169.46
1031,26-Dec-22,Communication Skills,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28
1032,07-Dec-22,Technical Skills,External,Completed,New Jackie,Cynthia Bradley,3,482.23
1033,20-Jun-23,Communication Skills,Internal,Incomplete,Smithshire,William Smith,4,169.85
